iter	Passed	Remaining
751	1629	2808
752	1631	2805
753	1633	2803
754	1636	2801
755	1638	2799
756	1640	2797
757	1642	2795
758	1645	2794
759	1647	2792
760	1649	2790
761	1651	2787
762	1654	2785
763	1656	2783
764	1658	2781
765	1661	2779
766	1663	2777
767	1665	2775
768	1667	2773
769	1670	2771
770	1672	2770
771	1674	2768
772	1677	2766
773	1679	2764
774	1681	2762
775	1684	2760
776	1686	2758
777	1688	2756
778	1691	2754
779	1693	2752
780	1695	2750
781	1697	2748
782	1699	2746
783	1702	2744
784	1704	2741
785	1706	2739
786	1708	2737
787	1710	2735
788	1712	2732
789	1714	2730
790	1716	2728
791	1718	2725
792	1720	2723
793	1722	2720
794	1724	2718
795	1726	2715
796	1728	2713
797	1730	2710
798	1732	2708
799	1734	2706
800	1736	2704
801	1738	2701
802	1740	2699
803	1742	2696
804	1744	2694
805	1746	2691
806	1748	2688
807	1750	2686
808	1752	2684
809	1754	2682
810	1756	2679
811	1758	2677
812	1760	2674
813	1762	2672
814	1765	2670
815	1767	2668
816	1769	2665
817	1770	2662
818	1772	2660
819	1774	2657
820	1777	2655
821	1779	2653
822	1780	2650
823	1782	2648
824	1784	2645
825	1786	2643
826	1788	2640
827	1790	2638
828	1792	2635
829	1794	2633
830	1796	2630
831	1798	2628
832	1800	2625
833	1802	2623
834	1804	2621
835	1806	2618
836	1808	2616
837	1810	2614
838	1812	2611
839	1814	2609
840	1816	2607
841	1818	2604
842	1820	2602
843	1822	2599
844	1824	2597
845	1827	2595
846	1829	2593
847	1831	2591
848	1833	2589
849	1835	2586
850	1837	2584
851	1839	2582
852	1841	2580
853	1844	2578
854	1846	2576
855	1848	2573
856	1850	2571
857	1852	2569
858	1854	2567
859	1856	2564
860	1858	2562
861	1861	2560
862	1863	2558
863	1865	2556
864	1867	2554
865	1869	2552
866	1871	2549
867	1874	2547
868	1876	2545
869	1878	2543
870	1880	2541
871	1883	2539
872	1885	2537
873	1887	2534
874	1889	2533
875	1891	2531
876	1893	2528
877	1895	2526
878	1898	2524
879	1900	2522
880	1902	2519
881	1904	2517
882	1906	2515
883	1908	2513
884	1910	2510
885	1912	2508
886	1914	2505
887	1916	2503
888	1918	2501
889	1920	2498
890	1922	2496
891	1924	2493
892	1926	2491
893	1928	2488
894	1929	2486
895	1931	2483
896	1933	2481
897	1936	2480
898	1939	2478
899	1941	2476
900	1943	2473
901	1945	2471
902	1947	2469
903	1949	2466
904	1951	2464
905	1953	2461
906	1955	2459
907	1957	2457
908	1959	2454
909	1960	2452
910	1962	2449
911	1964	2447
912	1966	2444
913	1968	2442
914	1970	2439
915	1972	2437
916	1973	2434
917	1976	2432
918	1978	2430
919	1980	2427
920	1981	2425
921	1983	2422
922	1985	2420
923	1987	2417
924	1989	2415
925	1991	2413
926	1993	2410
927	1995	2408
928	1997	2405
929	1999	2403
930	2000	2400
931	2002	2398
932	2004	2395
933	2006	2393
934	2008	2391
935	2010	2388
936	2012	2386
937	2014	2383
938	2016	2381
939	2018	2378
940	2019	2376
941	2021	2373
942	2023	2371
943	2025	2368
944	2027	2366
945	2029	2363
946	2030	2361
947	2032	2358
948	2034	2356
949	2036	2354
950	2038	2351
951	2040	2349
952	2042	2346
953	2044	2344
954	2046	2342
955	2048	2339
956	2050	2337
957	2052	2334
958	2053	2332
959	2055	2329
960	2057	2326
961	2058	2324
962	2061	2322
963	2063	2320
964	2065	2317
965	2067	2315
966	2069	2313
967	2071	2311
968	2073	2309
969	2075	2306
970	2077	2304
971	2079	2302
972	2081	2300
973	2083	2297
974	2085	2295
975	2088	2293
976	2090	2291
977	2092	2289
978	2094	2287
979	2096	2285
980	2098	2282
981	2100	2280
982	2103	2278
983	2105	2276
984	2107	2273
985	2109	2271
986	2111	2269
987	2113	2267
988	2115	2264
989	2117	2262
990	2119	2260
991	2121	2258
992	2123	2256
993	2125	2254
994	2127	2251
995	2129	2249
996	2131	2247
997	2133	2245
998	2135	2242
999	2137	2240
1000	2139	2237
1001	2141	2235
1002	2143	2233
1003	2145	2230
1004	2147	2228
1005	2149	2226
1006	2151	2224
1007	2153	2222
1008	2155	2219
1009	2157	2217
1010	2159	2215
1011	2161	2212
1012	2163	2210
1013	2165	2208
1014	2167	2206
1015	2169	2203
1016	2171	2201
1017	2173	2199
1018	2175	2196
1019	2177	2194
